==> Training epoch: 100, Loss: 0.009128
==> Training epoch: 200, Loss: 0.007463
==> Training epoch: 300, Loss: 0.006731
==> Training epoch: 400, Loss: 0.006285
==> Training epoch: 500, Loss: 0.005672
==> Training epoch: 600, Loss: 0.005426
==> Training epoch: 700, Loss: 0.005169
==> Training epoch: 800, Loss: 0.004877
==> Training epoch: 900, Loss: 0.004451
==> Training epoch: 1000, Loss: 0.004094
==> Training epoch: 1100, Loss: 0.003875
==> Training epoch: 1200, Loss: 0.003716
==> Training epoch: 1300, Loss: 0.003588
==> Training epoch: 1400, Loss: 0.003402
==> Training epoch: 1500, Loss: 0.003222
==> Training epoch: 1600, Loss: 0.003136
==> Training epoch: 1700, Loss: 0.003051
==> Training epoch: 1800, Loss: 0.002985
==> Training epoch: 1900, Loss: 0.002917
==> Training epoch: 2000, Loss: 0.002868
==> Training epoch: 2100, Loss: 0.002826
==> Training epoch: 2200, Loss: 0.002762
==> Training epoch: 2300, Loss: 0.002693
==> Training epoch: 2400, Loss: 0.002601
==> Training epoch: 2500, Loss: 0.002501
==> Training epoch: 2600, Loss: 0.002445
==> Training epoch: 2700, Loss: 0.002404
==> Training epoch: 2800, Loss: 0.002367
==> Training epoch: 2900, Loss: 0.002318
==> Training epoch: 3000, Loss: 0.002266
==> Training epoch: 3100, Loss: 0.002219
==> Training epoch: 3200, Loss: 0.002182
==> Training epoch: 3300, Loss: 0.002161
==> Training epoch: 3400, Loss: 0.002146
==> Training epoch: 3500, Loss: 0.002133
==> Training epoch: 3600, Loss: 0.002121
==> Training epoch: 3700, Loss: 0.002105
==> Training epoch: 3800, Loss: 0.002095
==> Training epoch: 3900, Loss: 0.002086
==> Training epoch: 4000, Loss: 0.002074
==> Training epoch: 4100, Loss: 0.002064
==> Training epoch: 4200, Loss: 0.002057
==> Training epoch: 4300, Loss: 0.002049
==> Training epoch: 4400, Loss: 0.002042
==> Training epoch: 4500, Loss: 0.002037
==> Training epoch: 4600, Loss: 0.002033
==> Training epoch: 4700, Loss: 0.002028
==> Training epoch: 4800, Loss: 0.002025
==> Training epoch: 4900, Loss: 0.002020
==> Training epoch: 5000, Loss: 0.002016
